wawirú	wawirú+N+SG
pinimasawa	pinimasawa+N+SG
arara	arara+N+SG
repupuka	pupuka+V+2+SG
puxí	puxí+ADV
sera-itá	sera+N+ABS+PL
peyatikú	yatikú+V+2+PL
rewerá	werá+V+2+SG
tamuéu	muéu+V+3+PL
marupiara	marupiara+N+SG
kurumĩ	kurumĩ+N+SG
remuyana	muyana+V+2+SG
yamaãĩ	maãĩ+V+1+PL
sikwé	rikwé+A2+NCONT
usepiasumeẽ	sepiasumeẽ+V+3
takwáu	kwáu+V+3+PL
waruá	waruá+N+SG
uyupukwari	yupukwari+V+3
tauruyari	ruyari+V+3+PL
