sumitera	sumitera+N+ABS+SG
sumitera-itá	sumitera+N+ABS+PL
rumitera	sumitera+N+CONT+SG
rumitera-itá	sumitera+N+CONT+PL
sumitera)	sumitera+N+NCONT+SG
sumitera)-itá	sumitera+N+NCONT+PL
sumuara	sumuara+N+ABS+SG
sumuara-itá	sumuara+N+ABS+PL
rumuara	sumuara+N+CONT+SG
rumuara-itá	sumuara+N+CONT+PL
sumuara)	sumuara+N+NCONT+SG
sumuara)-itá	sumuara+N+NCONT+PL
supapáu	supapáu+N+SG
supapáu-itá	supapáu+N+PL
supiá	supiá+N+ABS+SG
supiá-itá	supiá+N+ABS+PL
rupiá	supiá+N+CONT+SG
rupiá-itá	supiá+N+CONT+PL
supiá)	supiá+N+NCONT+SG
supiá)-itá	supiá+N+NCONT+PL
supisawa	supisawa+N+SG
supisawa-itá	supisawa+N+PL
rupítá)	supitá+N+CONT+SG
rupítá)-itá	supitá+N+CONT+PL
rupítá)	supitá+N+CONT+SG
rupítá)-itá	supitá+N+CONT+PL
surara	surara+N+SG
surara-itá	surara+N+PL
surisawa	surisawa+N+ABS+SG
surisawa-itá	surisawa+N+ABS+PL
r	surisawa+N+CONT+SG
r-itá	surisawa+N+CONT+PL
s)	surisawa+N+NCONT+SG
s)-itá	surisawa+N+NCONT+PL
suú	suú+N+SG
suú-itá	suú+N+PL
taína	taína+N+SG
taína-itá	taína+N+PL
tainasawa	tainasawa+N+SG
tainasawa-itá	tainasawa+N+PL
taínha	taínha+N+ABS+SG
taínha-itá	taínha+N+ABS+PL
raínha	taínha+N+CONT+SG
raínha-itá	taínha+N+CONT+PL
saínha)	taínha+N+NCONT+SG
saínha)-itá	taínha+N+NCONT+PL
taíra	taíra+N+ABS+SG
taíra-itá	taíra+N+ABS+PL
raíra	taíra+N+CONT+SG
raíra-itá	taíra+N+CONT+PL
taíra)	taíra+N+NCONT+SG
taíra)-itá	taíra+N+NCONT+PL
taití	taití+N+ABS+SG
taití-itá	taití+N+ABS+PL
raití	taití+N+CONT+SG
raití-itá	taití+N+CONT+PL
saití)	taití+N+NCONT+SG
saití)-itá	taití+N+NCONT+PL
takua	takua+N+ABS+SG
takua-itá	takua+N+ABS+PL
rakua	takua+N+CONT+SG
rakua-itá	takua+N+CONT+PL
sakua)	takua+N+NCONT+SG
sakua)-itá	takua+N+NCONT+PL
takwara	takwara+N+SG
takwara-itá	takwara+N+PL
tamanduá	tamanduá+N+SG
tamanduá-itá	tamanduá+N+PL
tamuatá	tamuatá+N+SG
tamuatá-itá	tamuatá+N+PL
tamunha	tamunha+N+ABS+SG
tamunha-itá	tamunha+N+ABS+PL
ramunha	tamunha+N+CONT+SG
ramunha-itá	tamunha+N+CONT+PL
samunha)	tamunha+N+NCONT+SG
samunha)-itá	tamunha+N+NCONT+PL
tapekua	tapekua+N+SG
tapekua-itá	tapekua+N+PL
tapereiwá	tapereiwá+N+SG
tapereiwá-itá	tapereiwá+N+PL
tapiaka	tapiaka+N+SG
tapiaka-itá	tapiaka+N+PL
tapiíra	tapiíra+N+SG
tapiíra-itá	tapiíra+N+PL
tapixawa	tapixawa+N+ABS+SG
tapixawa-itá	tapixawa+N+ABS+PL
rapixawa	tapixawa+N+CONT+SG
rapixawa-itá	tapixawa+N+CONT+PL
sapixawa)	tapixawa+N+NCONT+SG
sapixawa)-itá	tapixawa+N+NCONT+PL
tariíra	tariíra+N+SG
tariíra-itá	tariíra+N+PL
tatá	tatá+N+ABS+SG
tatá-itá	tatá+N+ABS+PL
ratá	tatá+N+CONT+SG
ratá-itá	tatá+N+CONT+PL
satá)	tatá+N+NCONT+SG
satá)-itá	tatá+N+NCONT+PL
tatú	tatú+N+SG
tatú-itá	tatú+N+PL
tawa	tawa+N+SG
tawa-itá	tawa+N+PL
tayera	tayera+N+ABS+SG
tayera-itá	tayera+N+ABS+PL
rayera	tayera+N+CONT+SG
rayera-itá	tayera+N+CONT+PL
tayera)	tayera+N+NCONT+SG
tayera)-itá	tayera+N+NCONT+PL
tembiwa	tembiwa+N+ABS+SG
tembiwa-itá	tembiwa+N+ABS+PL
rembiwa	tembiwa+N+CONT+SG
rembiwa-itá	tembiwa+N+CONT+PL
sembiwa)	tembiwa+N+NCONT+SG
sembiwa)-itá	tembiwa+N+NCONT+PL
tendawa	tendawa+N+ABS+SG
tendawa-itá	tendawa+N+ABS+PL
rendawa	tendawa+N+CONT+SG
rendawa-itá	tendawa+N+CONT+PL
sendawa)	tendawa+N+NCONT+SG
sendawa)-itá	tendawa+N+NCONT+PL
tendira	tendira+N+ABS+SG
tendira-itá	tendira+N+ABS+PL
rendira	tendira+N+CONT+SG
rendira-itá	tendira+N+CONT+PL
sendira)	tendira+N+NCONT+SG
sendira)-itá	tendira+N+NCONT+PL
tepusí	tepusí+N+ABS+SG
tepusí-itá	tepusí+N+ABS+PL
repusí	tepusí+N+CONT+SG
repusí-itá	tepusí+N+CONT+PL
sepusí)	tepusí+N+NCONT+SG
sepusí)-itá	tepusí+N+NCONT+PL
tetama	tetama+N+ABS+SG
tetama-itá	tetama+N+ABS+PL
retama	tetama+N+CONT+SG
retama-itá	tetama+N+CONT+PL
setama)	tetama+N+NCONT+SG
setama)-itá	tetama+N+NCONT+PL
teyú	teyú+N+SG
teyú-itá	teyú+N+PL
tianha	tianha+N+SG
tianha-itá	tianha+N+PL
tiapú	tiapú+N+SG
tiapú-itá	tiapú+N+PL
timbiú	timbiú+N+SG
timbiú-itá	timbiú+N+PL
tipiaka	tipiaka+N+SG
tipiaka-itá	tipiaka+N+PL
tipití	tipití+N+SG
tipití-itá	tipití+N+PL
tiputí	tiputí+N+ABS+SG
tiputí-itá	tiputí+N+ABS+PL
riputí	tiputí+N+CONT+SG
riputí-itá	tiputí+N+CONT+PL
siputí)	tiputí+N+NCONT+SG
siputí)-itá	tiputí+N+NCONT+PL
tĩsawa	tĩsawa+N+SG
tĩsawa-itá	tĩsawa+N+PL
tukana	tukana+N+SG
tukana-itá	tukana+N+PL
tukandira	tukandira+N+SG
tukandira-itá	tukandira+N+PL
Tupana	Tupana+N+SG
Tupana-itá	Tupana+N+PL
tupasá	tupasá+N+SG
tupasá-itá	tupasá+N+PL
tutira	tutira+N+SG
tutira-itá	tutira+N+PL
tuxawa	tuxawa+N+SG
tuxawa-itá	tuxawa+N+PL
tuyuka	tuyuka+N+SG
tuyuka-itá	tuyuka+N+PL
wirá	wirá+N+SG
wirá-itá	wirá+N+PL
wiramirĩ	wiramirĩ+N+SG
wiramirĩ-itá	wiramirĩ+N+PL
wirawasú	wirawasú+N+SG
wirawasú-itá	wirawasú+N+PL
witú	witú+N+SG
witú-itá	witú+N+PL
xibé	xibé+N+SG
xibé-itá	xibé+N+PL
xibuí	xibuí+N+SG
xibuí-itá	xibuí+N+PL
xipú	xipú+N+SG
xipú-itá	xipú+N+PL
xirura	xirura+N+SG
xirura-itá	xirura+N+PL
uí	uí+N+SG
uí-itá	uí+N+PL
uíwa	uíwa+N+SG
uíwa-itá	uíwa+N+PL
uka	uka+N+ABS+SG
uka-itá	uka+N+ABS+PL
ruka	uka+N+CONT+SG
ruka-itá	uka+N+CONT+PL
suka)	uka+N+NCONT+SG
suka)-itá	uka+N+NCONT+PL
ukapí	ukapí+N+ABS+SG
ukapí-itá	ukapí+N+ABS+PL
rukapí	ukapí+N+CONT+SG
rukapí-itá	ukapí+N+CONT+PL
sukapí)	ukapí+N+NCONT+SG
sukapí)-itá	ukapí+N+NCONT+PL
uka-pupekasara	uka-pupekasara+N+SG
uka-pupekasara-itá	uka-pupekasara+N+PL
ukara	ukara+N+SG
ukara-itá	ukara+N+PL
ukena	ukena+N+ABS+SG
ukena-itá	ukena+N+ABS+PL
rukena	ukena+N+CONT+SG
rukena-itá	ukena+N+CONT+PL
sukena)	ukena+N+NCONT+SG
sukena)-itá	ukena+N+NCONT+PL
urubú	urubú+N+SG
urubú-itá	urubú+N+PL
urupema	urupema+N+SG
urupema-itá	urupema+N+PL
waruá	waruá+N+SG
waruá-itá	waruá+N+PL
watasara	watasara+N+SG
watasara-itá	watasara+N+PL
watasawa	watasawa+N+SG
watasawa-itá	watasawa+N+PL
wawirú	wawirú+N+SG
wawirú-itá	wawirú+N+PL
yakumã	yakumã+N+SG
yakumã-itá	yakumã+N+PL
yamaxí	yamaxí+N+SG
yamaxí-itá	yamaxí+N+PL
yandú	yandú+N+SG
yandú-itá	yandú+N+PL
yanomami	yanomami+N+SG
yanomami-itá	yanomami+N+PL
yapuna	yapuna+N+SG
yapuna-itá	yapuna+N+PL
yapurá	yapurá+N+SG
yapurá-itá	yapurá+N+PL
yara	yara+N+SG
yara-itá	yara+N+PL
yasí	yasí+N+SG
yasí-itá	yasí+N+PL
yautí	yautí+N+SG
yautí-itá	yautí+N+PL
yawara	yawara+N+SG
yawara-itá	yawara+N+PL
yawareté	yawareté+N+SG
yawareté-itá	yawareté+N+PL
yawarí	yawarí+N+SG
yawarí-itá	yawarí+N+PL
yaxiusawa	yaxiusawa+N+SG
yaxiusawa-itá	yaxiusawa+N+PL
yepeawa	yepeawa+N+SG
yepeawa-itá	yepeawa+N+PL
yerimũ	yerimũ+N+SG
yerimũ-itá	yerimũ+N+PL
yukira	yukira+N+SG
yukira-itá	yukira+N+PL
yukisé	yukisé+N+SG
yukisé-itá	yukisé+N+PL
yukwakusawa	yukwakusawa+N+SG
yukwakusawa-itá	yukwakusawa+N+PL
yumasisawa	yumasisawa+N+SG
yumasisawa-itá	yumasisawa+N+PL
yumbuesara	yumbuesara+N+SG
yumbuesara-itá	yumbuesara+N+PL
yupatí	yupatí+N+SG
yupatí-itá	yupatí+N+PL
yupirisawa	yupirisawa+N+SG
yupirisawa-itá	yupirisawa+N+PL
yupirungawa	yupirungawa+N+SG
yupirungawa-itá	yupirungawa+N+PL
yurá	yurá+N+SG
yurá-itá	yurá+N+PL
yurú	yurú+N+SG
yurú-itá	yurú+N+PL
Yuruparí	Yuruparí+N+SG
Yuruparí-itá	Yuruparí+N+PL
yuwá	yuwá+N+SG
yuwá-itá	yuwá+N+PL
akangaíwa	akangaíwa+N+SG
akangaíwa-itá	akangaíwa+N+PL
ambira	ambira+N+SG
ambira-itá	ambira+N+PL
ikewara	ikewara+N+SG
ikewara-itá	ikewara+N+PL
irusanga	irusanga+N+SG
irusanga-itá	irusanga+N+PL
iwakapura	iwakapura+N+SG
iwakapura-itá	iwakapura+N+PL
iwakawara	iwakawara+N+SG
iwakawara-itá	iwakawara+N+PL
kaapura	kaapura+N+SG
kaapura-itá	kaapura+N+PL
kaawara	kaawara+N+SG
kaawara-itá	kaawara+N+PL
kirimbawa	kirimbawa+N+SG
kirimbawa-itá	kirimbawa+N+PL
kunhãwara	kunhãwara+N+SG
kunhãwara-itá	kunhãwara+N+PL
kuximawara	kuximawara+N+SG
kuximawara-itá	kuximawara+N+PL
maãsiyara	maãsiyara+N+SG
maãsiyara-itá	maãsiyara+N+PL
marupiara	marupiara+N+SG
